num|Title|Summary
10|ออมสินเล็งระดมหมื่นล้านผ่านบอนด์เพื่อสังคม|ออมสินเตรียมออกพันธบัตรเพื่อสังคมมูลค่า 1 หมื่นล้านบาทในปี 64 หลังเป็นตัวแทนจำหน่ายบอนด์การเคหะระดมทุนสร้างที่อยู่อาศัยวงเงิน6.8 พันล้านบาท ชี้นักลงทุนยื่นความประสงค์เต็มแล้ว พร้อมเปิดซื้อวันที่ 22 ก.ย.นี้
11|MENA จ่อขายหุ้นไอพีโอ 184 ล้านหุ้น เข้าระดมทุนตลาดหุ้น SET|มีนาทรานสปอร์ต ยื่นไฟลิ่ง ก.ล.ต.ขายหุ้น IPO จำนวน 184 ล้านหุ้น ระดมทุนเข้าเทรด SET นำเงินลงทุนในโครงการในอนาคต จ่ายคืนหนี้สิน เป็นเงินทุนหมุนเวียนในการประกอบกิจการ พร้อมตั้งบริษัทที่ปรึกษา เอเซีย พลัส จำกัด เป็นที่ปรึกษาทางการเงิน
12|BANPU ร่วง6.45% โบรกฯ คาดเจอแรงขายทำกำไรระยะสั้น|บ้านปู ราคาหุ้นรูดแรงกว่า 6.45% มาอยู่ที่ระดับ 5.80 บาท หรือ 0.40 บาท มูลค่าการซื้อขาย 528 ล้านบาท เหตุเจอแรงขายทำกำไรระยะสั้น
13|GULF ปลื้มนลท.แห่จองซื้อหุ้นเพิ่มทุนล้น 1.26 เท่า รับ 3.2 หมื่นล้านขยายธุรกิจ|GULF เผย ผู้ถือหุ้นใช้สิทธิซื้อหุ้นเพิ่มทุนล้น 1.26 เท่า จากเปิดให้ซื้อ14-18 ก.ย.ที่ผ่านมาจำนวน 1.06 พันล้านหุ้น เตรียมนำเงินระดมทุน 3.2 พันล้านบาท ลงทุนโครงการโรงไฟฟ้าในต่างประเทศ 
14|หุ้นไทย ภาคเช้า ปิดที่ 1,291.03 จุด บวก 2.64 จุด หรือ 0.20%|กรุงเทพธุรกิจออนไลน์ - การซื้อขายหลักทรัพย์ภาคเช้าวันจันทร์ (21 ก.ย. 63) เวลา 12.30 น. ดัชนีปิดอยู่ที่ 1,291.03 จุด ปรับเพิ่มขึ้น 2.64 จุด หรือ 0.20% มูลค่าการซื้อ-ขายทั้งสิ้น 17,658.14 ล้านบาท
15|SCC ชี้ เอสซีจี แพคเกจจิ้งเคาะช่วงราคาขายไอพีโอ 33.50-35 บาทต่อหุ้น |SCC  เผย เอสซีจี แพคเกจจิ้งกำหนช่วงดราคาขายไอพีโอ 33.50-35 บาทต่อหุ้น  ประเดิมเปิดให้ผู้ถือหุ้นเดิมของบริษัทแม่-บริษัทลูก-ผู้มีอุปการคุณเปิดจอง 28ก.ย.-2ต.ค.ส่วนนักลงทุนรายย่อยเปิดจอง 1-5 ต.ค.
16|กลต.ชี้ กองทุนจ่อยื่นตั้งไฮยิลด์บอนด์|ก.ล.ต. เผย มีผู้สนใจจัดตั้งกองทุนไฮยิลด์บอนด์ หลังประกาศเกณฑ์แล้ว คาดเริ่มทยอยยื่นในไตรมาส4ปีนี้ 
17|ธปท.อัตราแลกเปลี่ยนกลาง 31.137 บาท/ดอลลาร์ (แข็งค่า 0.058 บาท/ดอลลาร์)|กรุงเทพธุรกิจออนไลน์ / อัตราอ้างอิงค่าเงินบาทของธนาคารแห่งประเทศไทย ณ สิ้นวันทำการวันศุกร์ (18 ก.ย. 63)อยู่ที่ระดับ 31.137 บาท/ดอลลาร์
18|ธปท.อัตราแลกเปลี่ยนกลาง 37.2556 บาท/ยูโร (อ่อนค่า 0.2005 บาท/ยูโร)|กรุงเทพธุรกิจออนไลน์ / อัตราถัวเฉลี่ยค่าเงินยูโรต่อบาท ณ สิ้นวันทำการวันศุกร์ (18 ก.ย. 63) อยู่ที่ระดับ 37.2556 บาท/ยูโร 
19|หุ้นไทย เวลา 10.23น. ดัชนีอยู่ที่ 1,293.51 จุด บวก 5.12 จุด หรือ 0.40%|กรุงเทพธุรกิจออนไลน์ ณ เวลา 10.23น. การซื้อขายหลักทรัพย์ภาคเช้าวันจันทร์ (21 ก.ย. 63) ดัชนีอยู่ที่ 1,293.51 จุดปรับเพิ่มขึ้น 5.12 จุด คิดเป็น 0.40% มูลค่าการซื้อ-ขายทั้งสิ้น 6,696.72 ล้านบาท
20|เงินบาท ช่วงเช้าวันนี้ แข็งค่า ทะลุแนว 31 บาทต่อดอลลาร์|เงินบาทแข็งค่าที่ระดับ30.95-30.98บาทต่อดอลลาร์ ตามทิศทางเงินหยวน และผ่านเหตุการชุมนุมทางการเมือง ขณะที่ตลาดยังรอติดตามผลประชุมเฟดตลอดสัปดาห์นี้ 
21|ออมสิน เปิดตัวนอนแบงก์ต้นปี 64 ร่อนจดหมายชวน 25 ผู้ประกอบการ ตั้งบ.ร่วมทุน|ออมสิน ร่อนหนังสือถึงนอนแบงก์ 25 ราย ชวนยื่นข้อเสนอตั้งบริษัทร่วมทุน ลุยธุรกิจสินเชื่อนอนแบงก์ เตรียมเปิดตัวปีหน้า เงื่อนไขต้องคิดดอกเบี้ยไม่เกิน 18% โดยผู้ร่วมทุนจะได้ต้นทุนการเงินที่ถูกลงจากแบงก์ เตรียมเปิดตัวไตรมาสแรกปีหน้า
22|เจฟินเทครุกสินเชื่อรายย่อย หวังขึ้นแท่นท็อปไฟว์ภายใน5 ปี|เจฟินเทค เล็งจับมือ เคบีกุกมิน รุกตลาดสินเชื่อรายย่อยในประเทศไทย  หนุนผลดำเนินงานเติบโตไม่ต่ำกว่า 10% พร้อมตั้งเป้า 5 ปี  ติดอันดับ 1 ใน 5  ลั่นปี 65 เตรียมยื่นไฟลิ่งระดมทุนในตลาดหลักทรัพย์ฯ 
23|ราคาทองวันนี้ ทรงตัว |ราคาทองวันนี้ คงที่ ทองรูปพรรณขายออก 29,150 บาททองแท่งขายออก 28,650 บาท
24|ศึกชิง สายสีส้ม เดือด! บีอีเอ็ม-บีทีเอส สู้สุดตัว|โครงการรถไฟฟ้าสายสีส้มตะวันตก ช่วงบางขุนนนท์-ศูนย์วัฒนธรรมแห่งประเทศไทย ถือเป็นโครงการประมูลใหญ่ที่กำลังจะเกิดขึ้นในช่วงปลายปีนี้ 
25|โบรกคาดหุ้นไทยแกว่งตัว1,280-1,295จุด |โบรกคาดหุ้นไทยวันนี้แกว่งตัว1,280-1,295 จุด แม้ได้แรงหนุนจากการชุมนุมไม่มีความรุนแรง แต่การที่กลุ่มนักศึกษาจะกลับมาชุมนุมอีกครั้งในเดือนหน้ายังคงกดดันตลาด-กังวลความสัมพันธ์ระหว่างสหรัฐ-จีน รวมถึง Fund flow ต่างชาติที่ไหลออกเป็นแรงกดดันตลาด
26|๋ราคาขึ้นยกก๊วน |ข่าวสะพัดลือกระฉ่อน (อีกรอบ) ว่าหุ้นตระกูล JAS มีประเด็น ใหญ่ ให้ตลาดหุ้นได้ ฮือฮา ทั้งข่าวธุรกิจบอร์ดแบนด์เนื้อหอมเจ้าใหญ่ในตลาดเพียงขายขนมจีบ อยากซื้อกิจการ เอาไปรองรับธุรกิจ 5 จี กำลังจะเกิดขึ้น
27|เงินบาท เปิดตลาดวันนี้ แข็งค่าที่ 31.13 บาทต่อดอลลาร์ |เงินบาทแข็งค่าสอดคล้องกับเงินดอลลาร์อ่อนค่า และตลาดคลายกังวลปัจจัยการเมืองในประเทศ
28|Have Fund: หุ้นเวียดนาม รับศก.สดใสหลังโควิด|นอกจากประเทศไทยแล้ว เวียดนาม ถือเป็นอีกประเทศในเอเชียตะวันออกเฉียงใต้ที่ควบคุมสถานการณ์โควิด-19 ได้ดีและมีระยะเวลาล็อกดาวน์เพียง 3 สัปดาห์เท่านั้น
29| กลต.อุ้ม ธุรกิจ พ้นพิษโควิด ลุยออกเกณฑ์ใหม่ตั้ง กองรีท|ก.ล.ต. เตรียมออกเกณฑ์ตั้ง กองรีท ใหม่ เบื้องต้นวาง 2 แนวทาง หวังช่วยผู้ประกอบการอสังหาฯ ที่ขาดสภาพคล่องจากพิษโควิด คาดมีผลบังคับใช้ไตรมาส 4 ปีนี้ พร้อมยกเลิกกำหนดรายได้จากค่าเช่าที่ต้องเกินระดับ 75% หวังเปิดทางผู้ประกอบการเพิ่มความยืดหยุ่น
30|เตรียมก่อนเริ่มลุย ตลาดหุ้น ต่างแดน|ขณะที่ตลาดหุ้นไทยเริ่มซึม นักลงทุนควรมองหาโอกาสการลงทุนใหม่ๆ อาจต้องเข้าไปลงทุนในตลาดหุ้นต่างประเทศ ที่ดูใกล้เคียงกับการลงทุนในตลาดทองคำ ดังนั้นก่อนที่จะเข้าไปลงทุนควรรู้และศึกษา 6 เรื่องพื้นฐานก่อนลงทุน
31|หวัง ดิจิทัลพีโลน ลดหนี้นอกระบบ|แบงก์ชาติ เปิดเวที Bangkok Fintech Fair 2020 หนุนใช้ดิจิทัลเข้าสู่โลกใหม่ ชูสินเชื่อบุคคลดิจิทัล ช่วยให้ประชาชนเข้าถึงบริการทางการเงิน ลดพึ่งหนี้นอกระบบได้ เล็งขยายหลักเกณฑ์เพิ่ม
32|ทองคำเสี่ยงถูกเทขาย ลุ้นยืนเหนือ 1,960-1,973 ดอลลาร์|ในสัปดาห์นี้ เงินบาทอ่อนค่าต่อเนื่องเมื่อเทียบกับดอลลาร์  โดยนักลงทุนจับตาผลการประชุมธนาคารกลางสหรัฐเป็นสำคัญ โดยธนาคารกลางสหรัฐ (เฟด) มีมติคงอัตราดอกเบี้ยระยะสั้นที่ระดับ 0.00-0.25% ในการประชุม และส่งสัญญาณว่าจะคงอัตราดอกเบี้ยจนถึงปี 2566 ขณะที่นักล
33|เคทีซี พี่เบิ้มรุกเจาะตลาดภูธร หวังพอร์ตปีหน้าแตะพันล.|เคทีซี ผุดทีม เคทีซี พี่เบิ้ม ลุยตลาดภูธรผ่านช่องทางสาขาแบงก์กรุงไทย หวังยอดสินเชื่อจำนำทะเบียนรถปีหน้าแตะ 1 พันล้าน ขณะ สิ้นปีนี้มีลุ้นแตะ 200 ล้าน พร้อมลุยศึกษาสินเชื่อส่วนบุคคลดิจิทัลต่อยอดธุรกิจในอนาคต
34|โบรกสั่งจับตา ชุมนุมใหญ่ วันนี้หวั่น ยืดเยื้อ-รุนแรง ฉุดหุ้นไทยหลุด 1,200 จุด|โบรกฯ สั่งจับตาการชุมนุมใหญ่วันนี้ ย้ำมีผลต่อแนวโน้มตลาดหุ้น ทิสโก้ ห่วง รุนแรง-ยืดเยื้อ ฉุดหุ้นไทยรูดแตะ 1,200 จุด หากจบเร็วอาจเห็นยืนเหนือ 1,300 จุด
35|อัพสปีดความมั่งคั่งด้วย ...การลงทุนต่างประเทศ|ไขข้อข้องใจ ลงทุนในต่างประเทศให้ประโยชน์อะไรกับความมั่งคั่งของผู้ลงทุนบ้าง? ผ่านตัวอย่างพอร์ตการลงทุนสมมติของนักลงทุน ที่สามารถรับความเสี่ยงได้ในระดับปานกลางค่อนข้างสูง หรือรับความเสี่ยงจากความผันผวนของราคาตลาดที่เหวี่ยงขึ้นลงได้
36|เงินบาท ปิดตลาดวันนี้ แข็งค่า ที่31.10 บาทต่อดอลลาร์|เงินบาทแข็งค่าสุดในรอบ2สัปดาห์ที่31.05บาทต่อดอลลาร์ ก่อนกลับมาปิดตลาดแข็งค่าที่31.10บาทต่อดอลลาร์จากเปิดตลาดช่วงเช้า จากแรงซื้อบอนด์ของนักลงทุนต่างชาติและการแข็งค่าของสกุลเงินเอเชีย
37|เคทีซีรุกสินเชื่อจำนำทะเบียนคาดแตะพันล้านในปี64|เคทีซี โชว์แผนขยายพอร์ตสินเชื่อ รุกตลาดสินเชื่อทะเบียนรถ ผุดทีมเคทีซี พี่เบิ้ม คาดในปี 64 ปล่อยสินเชื่อทะเบียนรถได้ที่ประมาณ 1,000 ล้านบาท
38|อัตราแลกเปลี่ยนเงินตราต่างประเทศ (18 ก.ย.63)|อัตราแลกเปลี่ยนเงินตราต่างประเทศ (Currency Cross Rate) วันที่ 18 กันยายน 2563 ณ เวลาประมาณ 17.35น.
39|3 ขุนพลดิจิทัล เปิด 5 หลักคิด พลิกธุรกิจสู่ โลกวิถีใหม่|ธปท. จัดงาน Bangkok FinTech Fair 2020 ในรูปแบบออนไลน์ ผ่านประสบการณ์จาก 3 นักธุรกิจที่ปรับธุรกิจด้วยการใช้เทคโนโลยีดิจิทัล พร้อมเผย 5 หลักคิดนำธุรกิจสู่โลกวิถีใหม่ และ เดต้า-เศรษฐกิจสร้างสรรค์ เคล็ด(ไม่)ลับฝ่าโควิด
40|หุ้นไทย ภาคบ่าย ปิดตลาด 1,288.39 จุด บวก 3.99 จุด หรือ 0.31%|กรุงเทพธุรกิจออนไลน์ - การซื้อขายหลักทรัพย์ภาคบ่ายวันศุกร์ (18 ก.ย. 63) เวลา 17.00 น. ดัชนีปิดที่ระดับ 1,288.39 จุด ปรับเพิ่มขึ้น 3.99 จุดหรือคิดเป็น 0.31% มูลค่าการซื้อ-ขายทั้งสิ้น 49,975.26 ล้านบาท
41|สินเชื่อ ส่วนบุคคลจาก ธนาคาร ไม่ต้องมีหลักทรัพย์ ไม่ใช้คนค้ำประกัน|รวมลิสต์ สินเชื่อ ส่วนบุคคล จาก 5 ธนาคาร ที่เปิดให้ประชาชนทั่วไปสามารถ กู้เงิน เพื่อเพิ่มสภาพคล่องได้โดย ไม่จำเป็นต้องมีหลักทรัพย์ ไม่ต้องใช้บุคคลค้ำประกัน
42| SCB ผุด สินเชื่อ เงินทันเด้อ รู้ผลกู้ใน15นาที วงเงินกู้สูงสุด 5 หมื่นบาท!|SCB หรือ ธนาคารไทยพาณิชย์ คลอด เงินทันเด้อ สินเชื่อตั้งต้นสำหรับคนต้องการตั้งตัว ผ่านการใช้เทคโนโลยีAI ในการวิเคราะห์ให้กู้ เครมยื่นขอกู้รู้ผลใน15นาที เงินโอนเข้ากระเป๋าใน 24 ชั่วโมง พร้อมให้กู้สูงสุด 5 หมื่นบาท
43| มูลนิธิกรุงศรี มอบทุนการศึกษา 15ทุน วันเยาวชนแห่งชาติ|มูลนิธิธนาคารกรุงศรี มอบทุนการศึกษา15ทุน ให้เยาวชนในสถานสงเคราะห์เด็ก เนื่องในวันเยาวชนแห่งชาติ
44|TMB คว้ารางวัลยอดเยี่ยม Best Digital Financial Inclusion Project ตอกย้ำผู้นำดิจิทัลโซลูชั่น |ธนาคารทหารไทยชี้ ล่าสุดธนาคารได้รับรางวัล Best Digital Financial Inclusion Project  จากเวที The Asset Triple A Digital Awards 2020 ตอกย้ำผู้นำด้าน ดิจิทัลโซลูชันเพื่อลูกค้าธุรกิจอย่างต่อเนื่อง
45|BBL มงลง! คว้า 2 รางวัล ชาติศิริ ขึ้นแท่นนักการเงินแห่งปี |ธนาคารกรุงเทพ รับมอบ 2 รางวัลสูงสุด Money & Banking Awards 2020 จากวารสารการเงินธนาคาร ในฐานะ ธนาคารแห่งปี 2563 ขณะที่ ชาติศิริ โสภณพนิคว้านักการเงินแห่งปี 2562 นับเป็นครั้งที่ 2 ของธนาคารกรุงเทพ ที่ได้รับพร้อมกันทั้ง 2 รางวัลในปีเดียวกัน
46|หุ้นไทย ภาคเช้า ปิดที่ 1,285.43 จุด บวก 1.03 จุด หรือ 0.08%|กรุงเทพธุรกิจออนไลน์ - การซื้อขายหลักทรัพย์ภาคเช้าวันศุกร์ (18 ก.ย. 63) เวลา 12.30 น. ดัชนีปิดอยู่ที่ 1,285.43 จุด ปรับเพิ่มขึ้น 1.03 จุด หรือ 0.08% มูลค่าการซื้อ-ขายทั้งสิ้น 16,900.74 ล้านบาท
47|KBANK ปิดโครงการซื้อหุ้นคืน พร้อมหั่นทุนจดทะเบียน 1% หวังลดต้นทุน|กสิกรไทยปิดโครงการซื้อหุ้นคืนเพื่อบริหารทางการเงินของธนาคาร เหตุตลาดไม่เอื้อ จึงตัดการตัดหุ้นที่ซื้อคืนของบริษัท เพื่อลดต้นทุน พร้อมขอลดทุนจดทะเบียนแล้ว1% ยันไม่กระทบต่อลูกค้าแบงก์ ยันไม่กระทบต่อกองทุนของแบงก์ ยังเพียงพอใช้ดำเนินธุรกิจต่อเนื่อง
48|JAS ราคาพุ่งชนซิลลิ่ง14.96% บล.กสิกรไทย ปรับเพิ่มคำแนะนำเป็นซื้อ |JAS ราคาพุ่งชนซิลลิ่ง 14.96% ล่าสุดอ่อนตัวอยู่ที่ 2.82บาท เพิ่มขึ้น 0.28บาท หรือ 11.02% ด้านบล.กสิกรไทย ปรับคำแนะนำเป็นซื้อ ให้ราคาเหมาะสมที่ 3.56 บาท เหตุ ราคาหุ้นร่วงแรงเกินไป -เชื่อรายได้ยังคงเติบโตได้ 
49|ธปท.อัตราแลกเปลี่ยนกลาง 31.195 บาท/ดอลลาร์ (อ่อนค่า 0.023 บาท/ดอลลาร์)|กรุงเทพธุรกิจออนไลน์ / อัตราอ้างอิงค่าเงินบาทของธนาคารแห่งประเทศไทย ณ สิ้นวันทำการวันพฤหัสบดี (17 ก.ย. 63)อยู่ที่ระดับ 31.195 บาท/ดอลลาร์
50|ธปท.อัตราแลกเปลี่ยนกลาง 37.0551 บาท/ยูโร (แข็งค่า 0.2527 บาท/ยูโร)|กรุงเทพธุรกิจออนไลน์ / อัตราถัวเฉลี่ยค่าเงินยูโรต่อบาท ณ สิ้นวันทำการวันพฤหัสบดี (17 ก.ย. 63) อยู่ที่ระดับ 37.0551 บาท/ยูโร 
51|หุ้นไทย เวลา 10.13น. ดัชนีอยู่ที่ 1,289.98 จุด บวก 5.58 จุด หรือ 0.43%|กรุงเทพธุรกิจออนไลน์ ณ เวลา 10.13น. การซื้อขายหลักทรัพย์ภาคเช้าวันศุกร์ (18 ก.ย. 63) ดัชนีอยู่ที่ 1,289.98 จุดปรับเพิ่มขึ้น 5.58 จุด คิดเป็น 0.43% มูลค่าการซื้อ-ขายทั้งสิ้น 4,038.09 ล้านบาท
52|ฟันธง หุ้นเทค ไร้ฟองสบู่ กรุงศรี เชียร์ซื้อช่วงปรับฐาน|การปรับตัวขึ้นร้อนแรงของดัชนี Nasdaq ซึ่งมีหุ้นกลุ่มเทคโนโลยีเป็นหลัก โดยปีนี้ต้องยอมรับว่ามีความ โดดเด่น กว่าดัชนีอื่น สามารถให้ผลตอบแทนสูงถึง 35.31% นับตั้งแต่ต้นปีจนถึงวันที่ 2 ก.ย. ที่ผ่านมา
53|แบงก์กรุงเทพ ทุ่มเงิน1.16 พันล้านบาท ซื้อหุ้นเพิ่มใน BSL Leasing |ธนาคารกรุงเทพซื้อหุ้นบริษัท บีเอสแอล ลีสซิ่ง จำกัด เพิ่มเติมมูลค่า1,164.59 ล้านบาท ส่งผลให้ธนาคารถือหุ้นใน BSL Leasing เพิ่มเป็น 90% จากเดิม 35.88% และทำให้บริษัทดังกล่าวมีสถานะเป็นบริษัทย่อยของธนาคาร 
54|หุ้นไทยวันนี้แกว่งตัวผันผวน เหตุกังวลชุมนุม|บล.กรุงศรีคาดหุ้นไทยวันนี้เคลื่อนไหวผันผวนในกรอบ 1,275-1,295 จุด แม้ได้รับแรงหนุนจากราคาน้ำมันที่ปรับตัวขึ้น แต่ยังถูกกดดันความไม่แน่นอนทางการเมือง กรณีกลุ่มนักศึกษานัดชุมนุมวันพรุ่งนี้ (19 ก.ย.) 
55|หุ้นท่องเที่ยวรอลุ้น!เปิดประเทศรับต่างชาติ|การระบาดของโรคโควิด-19 ทำให้ไทยต้องล็อกดาวน์ปิดประเทศ ห้ามเที่ยวบินพาณิชย์เข้าออกมานานเกือบ 6 เดือน เพื่อควบคุมโรคระบาด แต่ก็ต้องแลกกับผลกระทบที่จะเกิดขึ้นกับระบบเศรษฐกิจ 
56|ธนารักษ์ผุดคอนโดข้าราชการอีก9จังหวัด|ธนารักษ์ เตรียมสร้างคอนโดราคาไม่เกิน 1 ล้านบาท ให้ข้าราชการรายได้น้อย อีก 9 จังหวัดทั่วประเทศ หลังเฟสแรก ตอบรับดี
57|OR จ่อเทรด ม.ค.64 มาร์เก็ตแคป 2 แสนล้าน| OR เตรียมเสนอบอร์ด ปตท. ไฟเขียว กระบวนการขายหุ้นไอพีโอ ไม่เกิน 3 พันล้านหุ้น หลังก.ล.ต.อนุมัติไฟลิ่งแล้ว  แหล่งข่าวเข้าเทรดไม่ทันปีนี้ เหตุ ต้องใช้เวลาพอสมควร ในขั้นตอน ให้ข้อมูลนักลงทุน -บุ๊คบิวดิ้ง-เปิดจองซื้อฯลฯ คาดมาร์เกตแคป 2 แสนล้าน
58|รัฐฉีดเงินปลุก กำลังซื้อ กูรูชี้ ค้าปลีก รับอานิสงส์ช่วงสั้น|ศูนย์บริหารสถานการณ์เศรษฐกิจจากผลกระทบการระบาดของโรคติดเชื้อไวรัสโคโรนา 2019 (โควิด-19) (ศบศ.) เห็นชอบอัดฉีดเม็ดเงิน 5.1 หมื่นล้านบาท
59|เงินบาท เปิดตลาดวันนี้ แข็งค่าที่ 31.13 บาทต่อดอลลาร์|ตลาดหุ้นสหรัฐปรับตัวแรงหลังนักลงทุนขายทำกำไร ขณะที่ธนาคารกลางทั่วโลกยังคงดอกเบี้ย กดดันตลาดการเงินเคลื่อนไหวกรอบกว้าง เช่นเดียวกับเงินบาทระยะสั้นก็แกว่งตัวกว้าง มองความเสี่ยงหลักคือการปรับตัวลงของหุ้นเอเชีย กดดันให้นักลงทุนต้องทยอยลดสถานะการถือสินทรัพย์เสี่ยงและเงินบาทลง 
60|ธปท.ไฟเขียวพีโลนดิจิทัลเคาะวงเงินไม่เกิน 2 หมื่นบาท |แบงก์ชาติ ไฟเขียว สินเชื่อบุคคลดิจิทัล เคาะวงเงินไม่เกินรายละ 2 หมื่นบาท คิดดอกเบี้ยรวมค่าฟีไม่เกิน 25% เปิดทางแบงก์นำข้อมูลการจ่าย ค่าน้ำ-ไฟ-โทรศัพท์-ช้อปออนไลน์ เป็นข้อมูลวิเคราะห์การปล่อยกู้ได้ หนุนอาชีพอิสระเข้าถึงแหล่งเงินกู้ง่ายขึ้น
61| KBANK ออกหุ้นกู้ระยะสั้น อ้างอิงดอกเบี้ย THOR |กสิกรไทยออกหุ้นกู้ระยะสั้นอ้างอิงอัตราดอกเบี้ย THORโดยมี กบข. เป็นผู้ลงทุนหลัก ซึ่งได้เข้าทำการปิดความเสี่ยงอัตราดอกเบี้ยด้วย นับเป็นการออกหุ้นกู้และการเข้าทำธุรกรรมบริหารความเสี่ยงอัตราดอกเบี้ย THOR ธุรกรรมแรกของประเทศ
62|CIMBT จับมือ บลจ.ไทยพาณิชย์ เปิดดีล อนุพันธ์อ้างอิง THOR|ซีไอเอ็มบี ไทย ตอกย้ำความเป็นผู้นำตลาด THOR จับมือ บลจ.ไทยพาณิชย์สร้างดีลแรก โดยเข้าทำสัญญาอนุพันธ์อ้างอิงอัตราดอกเบี้ย THOR ซึ่งเป็นธุรกรรมแรกที่ทำกับลูกค้า
63|SCBS ส่องผลประชุม FOMC ดันยีลด์ระยะยาวขยับ หนุนลงทุนสินทรัพย์เสี่ยง |ไทยพาณิชย์ส่อง ผลประชุมFOMC ของเฟด หนุนยิลด์ระยะยาวขยับ เอื้อลงทุนสินทรัพท์เสี่ยงสหรัฐในไตรมาส 4 หลังเฟดคงดอกเบี้ยที่ 0.00-.025% จนกว่าจะมีมุมมองเชิงบวกของเศรษฐกิจสหรัฐในระยะสั้นฟื้น 
64|อัตราแลกเปลี่ยนเงินตราต่างประเทศ (17 ก.ย.63)|อัตราแลกเปลี่ยนเงินตราต่างประเทศ (Currency Cross Rate) วันที่ 17 กันยายน 2563 ณ เวลาประมาณ 17.48น.
