title|word
หุ้นไทย ภาคเช้า ปิดที่ 1,291.03 จุด บวก 2.64 จุด หรือ 0.20%|ก.ย.เวลา/sp/ธุรกิจออนไลน์การซื้อขาย/sp/เวลาน./sp/เพิ่มขึ้นจุดมูลค่า/sp/เพิ่มขึ้นจุด/sp/เช้าจันทร์ก.ย./sp/เช้าจันทร์/sp/ออนไลน์การซื้อขายหลักทรัพย์/sp/ออนไลน์การซื้อขาย/sp/หลักทรัพย์เช้าจันทร์
SCC ชี้ เอสซีจี แพคเกจจิ้งเคาะช่วงราคาขายไอพีโอ 33.50-35 บาทต่อหุ้น |ก.ย.ต.ค./sp/ต.ค.นักลงทุน/sp/รายย่อยจอง/sp/ราคาขายไอพีโอ/sp/ลูกอุปการคุณจอง/sp/ผู้ถือหุ้นเดิมบริษัทแม่/sp/ผู้ถือหุ้นเดิม/sp/ประเดิมผู้ถือหุ้นเดิม/sp/อุปการคุณจอง/sp/บาทหุ้นประเดิม
กลต.ชี้ กองทุนจ่อยื่นตั้งไฮยิลด์บอนด์|ก.ล.ต.เผย/sp/ยิลด์บอนด์ประกาศ/sp/ไฮยิลด์/sp/ไตรมาสปี/sp/เผยสนใจกองทุน/sp/เผยสนใจ/sp/เกณฑ์คาดทยอย/sp/เกณฑ์คาด/sp/สนใจกองทุนไฮ/sp/สนใจกองทุน
ธปท.อัตราแลกเปลี่ยนกลาง 31.137 บาท/ดอลลาร์ (แข็งค่า 0.058 บาท/ดอลลาร์)|ก.ย.ระดับ/sp/ระดับบาทดอลลาร์/sp/อ้างอิงค่าเงินบาท/sp/อัตราอ้างอิงค่าเงินบาท/sp/อัตราอ้างอิง/sp/ออนไลน์อัตราอ้างอิง/sp/ออนไลน์อัตรา/sp/ศุกร์ก.ย.ระดับ/sp/ศุกร์ก.ย./sp/วันทำการศุกร์ก.ย.
ธปท.อัตราแลกเปลี่ยนกลาง 37.2556 บาท/ยูโร (อ่อนค่า 0.2005 บาท/ยูโร)|ก.ย.ระดับ/sp/ยูโรบาท/sp/อัตราถัวเฉลี่ย/sp/ออนไลน์อัตราถัวเฉลี่ย/sp/ออนไลน์อัตรา/sp/ศุกร์ก.ย.ระดับ/sp/ศุกร์ก.ย./sp/วันทำการศุกร์ก.ย./sp/วันทำการศุกร์/sp/ระดับบาทยูโร
หุ้นไทย เวลา 10.23น. ดัชนีอยู่ที่ 1,293.51 จุด บวก 5.12 จุด หรือ 0.40%|ก.ย.ดัชนี/sp/ธุรกิจออนไลน์เวลา/sp/เวลาน./sp/เพิ่มขึ้นจุดมูลค่า/sp/เพิ่มขึ้นจุด/sp/เช้าจันทร์ก.ย./sp/เช้าจันทร์/sp/ออนไลน์เวลาน./sp/ออนไลน์เวลา/sp/หลักทรัพย์เช้าจันทร์
เงินบาท ช่วงเช้าวันนี้ แข็งค่า ทะลุแนว 31 บาทต่อดอลลาร์|ค่าที่ระดับ/sp/ประชุมเฟด/sp/แข็งค่าที่/sp/เฟดสัปดาห์/sp/เงินบาทแข็งค่าที่/sp/เงินบาทแข็ง/sp/เงินหยวนชุมนุม/sp/เงินหยวน/sp/หยวนชุมนุมทางการเมือง/sp/หยวนชุมนุม
ออมสิน เปิดตัวนอนแบงก์ต้นปี 64 ร่อนจดหมายชวน 25 ผู้ประกอบการ ตั้งบ.ร่วมทุน|แบงก์เตรียมเปิดตัว/sp/แบงก์เตรียม/sp/นอนแบงก์/sp/เตรียมเปิดตัว/sp/การเงินแบงก์/sp/เงื่อนไขคิดดอกเบี้ยร่วมทุน/sp/ลุยธุรกิจสินเชื่อ/sp/สินเชื่อนอน/sp/สินเชื่อนอนแบงก์/sp/หนังสือนอน
เจฟินเทครุกสินเชื่อรายย่อย หวังขึ้นแท่นท็อปไฟว์ภายใน5 ปี|กรุกตลาด/sp/เตรียมยื่น/sp/ลั่นปีเตรียม/sp/ลิ่งระดมทุน/sp/ลิ่งระดมทุนตลาดหลักทรัพย์/sp/สินเชื่อรายย่อย/sp/สินเชื่อรายย่อยในประเทศ/sp/หนุนดำเนินงาน/sp/หนุนดำเนินงานเติบโต/sp/เคบี
ศึกชิง สายสีส้ม เดือด! บีอีเอ็ม-บีทีเอส สู้สุดตัว|การประมูลเกิดขึ้น/sp/ศูนย์วัฒนธรรม/sp/ไทยถือเป็น/sp/โครงการรถไฟฟ้าสาย/sp/โครงการรถไฟฟ้า/sp/โครงการประมูลเกิดขึ้น/sp/โครงการประมูล/sp/เกิดขึ้นปลายปี/sp/สีส้มตะวันตกบางขุนนนท์/sp/สีส้มตะวันตก
โบรกคาดหุ้นไทยแกว่งตัว1,280-1,295จุด |กดดันตลาด/sp/จุดได้แรงหนุน/sp/หน้ากดดันตลาด/sp/หน้ากดดัน/sp/อีกครั้งเดือน/sp/สหรัฐจีน/sp/นักศึกษากลับมาชุมนุม/sp/นักศึกษากลับมา/sp/เดือนหน้ากดดัน/sp/ต่างชาติไหล
๋ราคาขึ้นยกก๊วน |กรอบหุ้น/sp/บอร์ดแบนด์/sp/ประเด็นตลาดหุ้น/sp/ประเด็นตลาดหุ้นฮือฮา/sp/รองรับธุรกิจ/sp/รองรับธุรกิจจี/sp/ลือกระฉ่อนอี/sp/ลือกระฉ่อนอีกรอบ/sp/สะพัดลือกระฉ่อน/sp/สะพัดลือกระฉ่อนอี
เงินบาท เปิดตลาดวันนี้ แข็งค่าที่ 31.13 บาทต่อดอลลาร์ |การเมืองในประเทศ/sp/สอดคล้องเงิน/sp/แข็งค่าสอดคล้อง/sp/เงินบาทแข็งค่าสอดคล้อง/sp/เงินบาทแข็งค่า/sp/เงินดอลลาร์อ่อน/sp/เงินดอลลาร์/sp/อ่อนค่าตลาด/sp/อ่อนค่า/sp/สอดคล้องเงินดอลลาร์
Have Fund: หุ้นเวียดนาม รับศก.สดใสหลังโควิด|ควบคุมสถานการณ์โควิด/sp/ล็อกดาวน์สัปดาห์/sp/ไทยเวียดนาม/sp/ได้ดีระยะเวลาล็อก/sp/ได้ดีระยะเวลา/sp/โควิดได้ดีระยะเวลา/sp/โควิดได้ดี/sp/เอเชียตะวันออกเฉียงใต้ควบคุมสถานการณ์โควิด/sp/เอเชียตะวันออกเฉียงใต้ควบคุมสถานการณ์/sp/เวียดนามถือเป็นประเทศ
 กลต.อุ้ม ธุรกิจ พ้นพิษโควิด ลุยออกเกณฑ์ใหม่ตั้ง กองรีท|ก.ล.ต.เตรียม/sp/ผู้ประกอบการอสังหาฯ/sp/หวังเปิดทาง/sp/หวังผู้ประกอบการอสังหาฯ/sp/อสังหาฯขาดสภาพคล่องพิษ/sp/รีทเบื้องต้น/sp/รีท/sp/รายได้ค่าเช่าระดับ/sp/เตรียมเกณฑ์/sp/ระดับหวังเปิดทาง
เตรียมก่อนเริ่มลุย ตลาดหุ้น ต่างแดน|เข้าไปลงทุน/sp/ศึกษาเรื่องพื้นฐาน/sp/มองหาโอกาส/sp/มองหาโอกาสการลงทุน/sp/รู้ศึกษา/sp/รู้ศึกษาเรื่อง/sp/ลงทุนตลาดหุ้น/sp/ลงทุนตลาดหุ้นต่างประเทศ/sp/ลงทุนรู้/sp/ลงทุนรู้ศึกษา
หวัง ดิจิทัลพีโลน ลดหนี้นอกระบบ|ขยายหลักเกณฑ์/sp/เข้าสู่โลก/sp/สินเชื่อบุคคลดิจิทัล/sp/หนี้ระบบ/sp/หนี้ระบบเล็ง/sp/หนุนดิจิทัล/sp/หนุนดิจิทัลเข้าสู่/sp/เข้าถึงบริการ/sp/เข้าถึงบริการทางการเงิน/sp/เข้าสู่โลกชู
ทองคำเสี่ยงถูกเทขาย ลุ้นยืนเหนือ 1,960-1,973 ดอลลาร์|ธนาคารกลางสหรัฐ/sp/การประชุมธนาคารกลาง/sp/สหรัฐเฟด/sp/สหรัฐเฟดมีมติ/sp/สัปดาห์เงินบาท/sp/สัปดาห์เงินบาทอ่อน/sp/ส่งสัญญาณอัตราดอกเบี้ย/sp/ส่งสัญญาณอัตราดอกเบี้ยปี/sp/อัตราดอกเบี้ยปี/sp/อัตราดอกเบี้ยปีล
เคทีซี พี่เบิ้มรุกเจาะตลาดภูธร หวังพอร์ตปีหน้าแตะพันล.|เคซี/sp/กรุงไทยหวัง/sp/สินเชื่อจำนำ/sp/สาขาแบงก์กรุงไทย/sp/สาขาแบงก์/sp/ศึกษาสินเชื่อส่วนบุคคล/sp/ศึกษาสินเชื่อ/sp/ล้านสิ้นปีลุ้น/sp/ล้านสิ้นปี/sp/สินเชื่อส่วนบุคคล
โบรกสั่งจับตา ชุมนุมใหญ่ วันนี้หวั่น ยืดเยื้อ-รุนแรง ฉุดหุ้นไทยหลุด 1,200 จุด|จับตาชุมนุม/sp/ห่วงรุนแรงยืดเยื้อ/sp/รูดแตะ/sp/รูดแตะจุดจบ/sp/สั่งจับตา/sp/สั่งจับตาชุมนุม/sp/หุ้นไทย/sp/หุ้นไทยรูด/sp/ห่วงรุนแรง/sp/เหนือจุด
อัพสปีดความมั่งคั่งด้วย ...การลงทุนต่างประเทศ|การลงทุนสมมติ/sp/ประโยชน์ความมั่งคั่ง/sp/ไขข้อข้องใจลงทุน/sp/สมมตินักลงทุนความเสี่ยง/sp/สมมตินักลงทุน/sp/ลงทุนต่างประเทศประโยชน์/sp/ลงทุนต่างประเทศ/sp/ราคาตลาดเหวี่ยง/sp/ระดับปานกลางความเสี่ยงความผันผวน/sp/ระดับปานกลางความเสี่ยง
เงินบาท ปิดตลาดวันนี้ แข็งค่า ที่31.10 บาทต่อดอลลาร์|บาทดอลลาร์/sp/เงินบาทแข็งค่ารอบ/sp/รอบสัปดาห์/sp/รอบสัปดาห์บาท/sp/สกุลเงิน/sp/สกุลเงินเอเชีย/sp/สัปดาห์บาท/sp/สัปดาห์บาทดอลลาร์/sp/เงินเอเชีย/sp/เงินบาทแข็งค่า
เคทีซีรุกสินเชื่อจำนำทะเบียนคาดแตะพันล้านในปี64|เคซี/sp/สินเชื่อทะเบียนรถ/sp/ขยายพอร์ต/sp/สินเชื่อทะเบียนรถผุด/sp/พอร์ตสินเชื่อรุก/sp/พี่เบิ้มคาด/sp/พี่เบิ้มคาดปี/sp/รุกตลาด/sp/รุกตลาดสินเชื่อ/sp/ล้านบาท
อัตราแลกเปลี่ยนเงินตราต่างประเทศ (18 ก.ย.63)|กันยายนเวลา/sp/กันยายนเวลาน./sp/วันที่กันยายน/sp/วันที่กันยายนเวลา/sp/อัตราแลกเปลี่ยนเงินตราต่างประเทศ/sp/อัตราแลกเปลี่ยนเงินตราต่างประเทศวันที่/sp/เงินตราต่างประเทศวันที่/sp/เงินตราต่างประเทศวันที่กันยายน/sp/เวลาน.
3 ขุนพลดิจิทัล เปิด 5 หลักคิด พลิกธุรกิจสู่ โลกวิถีใหม่|ดิจิทัลเผย/sp/สร้างสรรค์เคล็ดลับ/sp/หลักธุรกิจ/sp/หลักธุรกิจโลก/sp/ออนไลน์ประสบการณ์/sp/ออนไลน์ประสบการณ์นักธุรกิจ/sp/เคล็ดลับฝ่า/sp/เคล็ดลับฝ่าโควิด/sp/เดต้า/sp/เดต้าเศรษฐกิจ
หุ้นไทย ภาคบ่าย ปิดตลาด 1,288.39 จุด บวก 3.99 จุด หรือ 0.31%|ก.ย.เวลา/sp/ศุกร์ก.ย.เวลา/sp/มูลค่าการซื้อขาย/sp/มูลค่าการซื้อขายล้าน/sp/ระดับจุด/sp/ระดับจุดเพิ่มขึ้น/sp/ล้านบาท/sp/ศุกร์ก.ย./sp/หลักทรัพย์บ่าย/sp/บ่ายศุกร์
สินเชื่อ ส่วนบุคคลจาก ธนาคาร ไม่ต้องมีหลักทรัพย์ ไม่ใช้คนค้ำประกัน|กู้เงินสภาพคล่อง/sp/สภาพคล่องโดยไม่จำเป็นหลักทรัพย์/sp/ไม่ต้องบุคคล/sp/โดยไม่จำเป็นหลักทรัพย์ไม่ต้อง/sp/โดยไม่จำเป็นหลักทรัพย์/sp/หลักทรัพย์ไม่ต้องบุคคล/sp/หลักทรัพย์ไม่ต้อง/sp/ส่วนบุคคลธนาคารประชาชน/sp/ส่วนบุคคลธนาคาร/sp/สินเชื่อส่วนบุคคลธนาคาร
 SCB ผุด สินเชื่อ เงินทันเด้อ รู้ผลกู้ใน15นาที วงเงินกู้สูงสุด 5 หมื่นบาท!|กระเป๋าชั่วโมง/sp/ยื่นกู้รู้/sp/รมยื่นกู้/sp/รู้นาที/sp/รู้นาทีเงินโอน/sp/วิเคราะห์กู้/sp/วิเคราะห์กู้เค/sp/สำหรับคน/sp/สำหรับคนการตั้งตัว/sp/สินเชื่อตั้งต้น
 มูลนิธิกรุงศรี มอบทุนการศึกษา 15ทุน วันเยาวชนแห่งชาติ|กรุงศรีมอบ/sp/มูลนิธิธนาคารกรุงศรี/sp/เยาวชนสถานสงเคราะห์เด็ก/sp/เยาวชนสถานสงเคราะห์/sp/เนื่องในเยาวชนแห่งชาติ/sp/เนื่องในเยาวชน/sp/เด็กเนื่องในเยาวชน/sp/เด็กเนื่องใน/sp/สถานสงเคราะห์เด็กเนื่องใน/sp/สถานสงเคราะห์เด็ก
TMB คว้ารางวัลยอดเยี่ยม Best Digital Financial Inclusion Project ตอกย้ำผู้นำดิจิทัลโซลูชั่น |ชี้ธนาคาร/sp/ผู้นำดิจิทัล/sp/ไทยชี้/sp/โซลูชันลูกค้าธุรกิจ/sp/โซลูชันลูกค้า/sp/เวทีตอกย้ำผู้นำ/sp/เวทีตอกย้ำ/sp/ลูกค้าธุรกิจต่อเนื่อง/sp/ลูกค้าธุรกิจ/sp/รับรางวัลเวทีตอกย้ำ
BBL มงลง! คว้า 2 รางวัล ชาติศิริ ขึ้นแท่นนักการเงินแห่งปี |ธนาคารกรุงเทพ/sp/กรุงเทพรับมอบ/sp/รางวัลวารสารการเงิน/sp/ปีชาติศิ/sp/พนิ/sp/พนิคว้า/sp/รับมอบรางวัล/sp/รับมอบรางวัลวารสาร/sp/รางวัลปี/sp/รางวัลวารสาร
หุ้นไทย ภาคเช้า ปิดที่ 1,285.43 จุด บวก 1.03 จุด หรือ 0.08%|ก.ย.เวลา/sp/น.ดัชนีจุด/sp/เวลาน./sp/เพิ่มขึ้นจุดมูลค่า/sp/เพิ่มขึ้นจุด/sp/เช้าศุกร์ก.ย./sp/เช้าศุกร์/sp/ออนไลน์การซื้อขายหลักทรัพย์/sp/ออนไลน์การซื้อขาย/sp/หลักทรัพย์เช้าศุกร์
KBANK ปิดโครงการซื้อหุ้นคืน พร้อมหั่นทุนจดทะเบียน 1% หวังลดต้นทุน|ยันกระทบ/sp/กระทบกองทุน/sp/ลูกค้าแบงก์/sp/บริษัทลด/sp/บริษัทลดต้นทุน/sp/บริหารทางการเงิน/sp/บริหารทางการเงินธนาคาร/sp/พอใช้ดำเนิน/sp/พอใช้ดำเนินธุรกิจ/sp/ยันกระทบกองทุน
JAS ราคาพุ่งชนซิลลิ่ง14.96% บล.กสิกรไทย ปรับเพิ่มคำแนะนำเป็นซื้อ |กสิกรไทย/sp/เกินไปรายได้เติบโต/sp/ร่วงแรงเกินไป/sp/ลลิ่งอ่อนตัว/sp/ลลิ่งอ่อนตัวบาท/sp/หุ้นร่วง/sp/หุ้นร่วงแรง/sp/อ่อนตัวบาท/sp/อ่อนตัวบาทเพิ่มขึ้น/sp/เกินไปรายได้
ธปท.อัตราแลกเปลี่ยนกลาง 31.195 บาท/ดอลลาร์ (อ่อนค่า 0.023 บาท/ดอลลาร์)|ก.ย.ระดับ/sp/พฤหัสบดีก.ย.ระดับ/sp/อ้างอิงค่าเงินบาท/sp/อัตราอ้างอิงค่าเงินบาท/sp/อัตราอ้างอิง/sp/ออนไลน์อัตราอ้างอิง/sp/ออนไลน์อัตรา/sp/วันทำการพฤหัสบดีก.ย./sp/วันทำการพฤหัสบดี/sp/ระดับบาทดอลลาร์
ธปท.อัตราแลกเปลี่ยนกลาง 37.0551 บาท/ยูโร (แข็งค่า 0.2527 บาท/ยูโร)|ก.ย.ระดับ/sp/พฤหัสบดีก.ย./sp/อัตราถัวเฉลี่ย/sp/ออนไลน์อัตราถัวเฉลี่ย/sp/ออนไลน์อัตรา/sp/วันทำการพฤหัสบดีก.ย./sp/วันทำการพฤหัสบดี/sp/ระดับบาทยูโร/sp/ระดับบาท/sp/ยูโรบาทวันทำการ
หุ้นไทย เวลา 10.13น. ดัชนีอยู่ที่ 1,289.98 จุด บวก 5.58 จุด หรือ 0.43%|ก.ย.ดัชนี/sp/น.การซื้อขายหลักทรัพย์/sp/เวลาน./sp/เพิ่มขึ้นจุดมูลค่า/sp/เพิ่มขึ้นจุด/sp/เช้าศุกร์ก.ย./sp/เช้าศุกร์/sp/ออนไลน์เวลาน./sp/ออนไลน์เวลา/sp/หลักทรัพย์เช้าศุกร์
ฟันธง หุ้นเทค ไร้ฟองสบู่ กรุงศรี เชียร์ซื้อช่วงปรับฐาน|ก.ย.ที่ผ่านมา/sp/ร้อนแรงดัชนี/sp/โดดเด่นดัชนี/sp/เป็นหลักปีโดดเด่น/sp/เป็นหลักปี/sp/เทคโนโลยีเป็นหลักปี/sp/เทคโนโลยีเป็นหลัก/sp/หุ้นเทคโนโลยีเป็นหลัก/sp/หุ้นเทคโนโลยี/sp/วันที่ก.ย.ที่ผ่านมา
แบงก์กรุงเทพ ทุ่มเงิน1.16 พันล้านบาท ซื้อหุ้นเพิ่มใน BSL Leasing |กรุงเทพซื้อ/sp/สถานะบริษัทธนาคาร/sp/มูลค่าล้านบาท/sp/ลีส/sp/ลีสซิ่ง/sp/ล้านบาท/sp/ล้านบาทส่งผล/sp/สซิ่ง/sp/สซิ่งจำกัด/sp/สถานะบริษัท
หุ้นไทยวันนี้แกว่งตัวผันผวน เหตุกังวลชุมนุม|กดดันความไม่แน่นอน/sp/วันพรุ่งนี้ก.ย./sp/บล.กรุงศรี/sp/บล.กรุงศรีคาด/sp/ปรับตัวกดดัน/sp/ปรับตัวกดดันความไม่แน่นอน/sp/ผันผวนกรอบ/sp/ผันผวนกรอบจุด/sp/ราคาน้ำมัน/sp/ราคาน้ำมันปรับตัว
หุ้นท่องเที่ยวรอลุ้น!เปิดประเทศรับต่างชาติ|ขึ้นกับระบบเศรษฐกิจ/sp/แลกผลกระทบที่จะ/sp/ออกมาเดือนควบคุม/sp/เดือนควบคุม/sp/เดือนควบคุมโรคระบาด/sp/เที่ยวบินพาณิชย์/sp/เที่ยวบินพาณิชย์ออกมา/sp/แลกผลกระทบ/sp/โควิดไทย/sp/ห้ามเที่ยวบินพาณิชย์
ธนารักษ์ผุดคอนโดข้าราชการอีก9จังหวัด|ข้าราชการรายได้/sp/รักษ์เตรียมสร้าง/sp/เฟสตอบรับ/sp/เตรียมสร้างคอนโด/sp/เตรียมสร้าง/sp/สร้างคอนโดราคา/sp/สร้างคอนโด/sp/ล้านบาทข้าราชการ/sp/ล้านบาท/sp/รายได้จังหวัดทั่วประเทศ
OR จ่อเทรด ม.ค.64 มาร์เก็ตแคป 2 แสนล้าน|ก.ล.ต.อนุมัติ/sp/หุ้นไอพีโอ/sp/เตรียมเสนอบอร์ด/sp/เตรียมเสนอ/sp/เกตแคป/sp/เกต/sp/อนุมัติไฟลิ่ง/sp/อนุมัติไฟ/sp/หุ้นไอ/sp/เทรดปีใช้เวลา
รัฐฉีดเงินปลุก กำลังซื้อ กูรูชี้ ค้าปลีก รับอานิสงส์ช่วงสั้น|นาโควิด/sp/โคโรนา/sp/เม็ดเงินหมื่นล้าน/sp/เศรษฐกิจผลกระทบ/sp/เศรษฐกิจผลกระทบระบาด/sp/เห็นชอบอัดฉีด/sp/เห็นชอบอัดฉีดเม็ดเงิน/sp/โคโร/sp/โควิดศ./sp/อัดฉีดเม็ดเงินหมื่น
เงินบาท เปิดตลาดวันนี้ แข็งค่าที่ 31.13 บาทต่อดอลลาร์|กดดันตลาด/sp/นักลงทุนขายทำกำไร/sp/นักลงทุนทยอยลด/sp/ปรับตัวแรง/sp/ปรับตัวแรงนักลงทุน/sp/ระยะสั้นแกว่ง/sp/ระยะสั้นแกว่งตัว/sp/ลดสถานะ/sp/ลดสถานะสินทรัพย์/sp/สถานะสินทรัพย์
ธปท.ไฟเขียวพีโลนดิจิทัลเคาะวงเงินไม่เกิน 2 หมื่นบาท |กู้หนุน/sp/วิเคราะห์ปล่อยกู้/sp/สินเชื่อบุคคลดิจิทัล/sp/หนุนอาชีพ/sp/หนุนอาชีพอิสระ/sp/หมื่นบาท/sp/หมื่นบาทคิดดอกเบี้ย/sp/ออนไลน์ข้อมูล/sp/ออนไลน์ข้อมูลวิเคราะห์/sp/อาชีพอิสระ
 KBANK ออกหุ้นกู้ระยะสั้น อ้างอิงดอกเบี้ย THOR |ความเสี่ยงอัตราดอกเบี้ย/sp/ระยะสั้นอ้างอิง/sp/อัตราดอกเบี้ยกบข./sp/กสิกรไทยหุ้นกู้/sp/อ้างอิงอัตราดอกเบี้ยกบข./sp/ความเสี่ยงอัตราดอกเบี้ยหุ้นกู้/sp/อ้างอิงอัตราดอกเบี้ย/sp/ผู้ลงทุนหลักทำการ/sp/ผู้ลงทุนหลัก/sp/อัตราดอกเบี้ยธุรกรรม
CIMBT จับมือ บลจ.ไทยพาณิชย์ เปิดดีล อนุพันธ์อ้างอิง THOR|ความเป็นผู้นำตลาด/sp/อ้างอิงอัตราดอกเบี้ย/sp/พาณิชย์สร้างดีล/sp/สร้างดีล/sp/สร้างดีลทำสัญญา/sp/อนุพันธ์อ้างอิง/sp/อนุพันธ์อ้างอิงอัตราดอกเบี้ย/sp/อัตราดอกเบี้ยธุรกรรม/sp/อัตราดอกเบี้ยธุรกรรมทำ/sp/อ้างอิงอัตราดอกเบี้ยธุรกรรม
